Name;Mu;Sigma
Belgium;3.32147894239559;0.23888601977491963
Bulgaria;1.754630492793301;0.3701257483180168
Czechia;2.5303225207258904;0.23267625610220183
Denmark;3.5287028772043674;0.23953745725845657
Germany;3.2598898009588146;0.2727123707070017
Estonia;2.735979485101667;0.3385654086862717
Ireland;3.398551662609838;0.25697534284250034
Greece;2.2859745655219097;0.29659146820427534
Spain;2.8661954317600893;0.3192082180184929
France;3.167578787783588;0.26479297828937715
Croatia;2.1982216109971278;0.2794820923122753
Italy;2.9511927293526847;0.30474369264948503
Cyprus;2.9161285435897137;0.27616820749049714
Latvia;2.377624535956011;0.3406947482385889
Lithuania;2.377451349006452;0.3392819728039087
Luxembourg;3.8349393967809275;0.2829768402544215
Hungary;1.9693321134442292;0.23871712815217008
Malta;2.9397143855377172;0.290575766293756
Netherlands;3.3937168797504023;0.24254877079674925
Austria;3.352924083894268;0.25237821385224024
Poland;2.225111120331031;0.2481075848476972
Portugal;2.4506008018362055;0.2934671108068043
Romania;1.744861957306312;0.3185539334027506
Slovenia;2.8245326382605005;0.22030868576317286
Slovakia;2.190674779100344;0.20517661903510595
Finland;3.2988709416657196;0.24538033789530372
Sweden;3.3092794417008182;0.2614034080162271
